"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Class","Strand"
"ENSG00000118705",8664.4553526342,-0.755044829817683,0.0309531143395518,1.90389724466335e-132,3.79732305448104e-128,"RPN2","20:37178410-37241619","protein_coding","+"
"ENSG00000148677",1857.89996827189,1.905371256884,0.0823040112506314,1.39684747024238e-119,1.39300613969922e-115,"ANKRD1","10:90912096-90921276","protein_coding","-"
"ENSG00000270647",6094.50932113373,-1.31461364849215,0.0638296437425868,1.72809375258075e-95,1.14889432984077e-91,"TAF15","17:35713791-35864615","protein_coding","+"
"ENSG00000099994",1126.09384988369,-1.08241974935309,0.0536283173825351,1.14823196506876e-91,5.72537163582412e-88,"SUSD2","22:24181487-24189106","protein_coding","+"
"ENSG00000134575",662.483356000266,-1.97616134485884,0.100653976733837,5.58033191307351e-87,2.22599440012502e-83,"ACP2","11:47239305-47248906","protein_coding","-"
"ENSG00000117360",4273.81886083401,1.22095405394909,0.0623586123597231,9.29053044298672e-87,3.08832716142284e-83,"PRPF3","1:150321479-150353233","protein_coding","+"
"ENSG00000133030",22803.1566158688,0.658620067120563,0.0348194052308809,7.52684885286318e-81,2.14461429100509e-77,"MPRIP","17:17042545-17217679","protein_coding","+"
"ENSG00000174243",12669.6016433565,0.706589952231053,0.0393117917641686,1.61999139470653e-73,4.03884104592772e-70,"DDX23","12:48829756-48852842","protein_coding","-"
"ENSG00000177628",2332.43414530438,-0.959799277857903,0.0554890571715788,4.84350734467201e-68,1.07337504432759e-64,"GBA","1:155234452-155244699","protein_coding","-"
"ENSG00000108861",4639.13200408187,-0.747402640245862,0.0434581628709638,9.92785207871299e-68,1.98011009709931e-64,"DUSP3","17:43766125-43778977","protein_coding","-"
"ENSG00000134186",3009.69820630207,0.892100836958117,0.0520859258390115,7.85037968885743e-67,1.42341657176601e-63,"PRPF38B","1:108692310-108702928","protein_coding","+"
"ENSG00000273038",2129.59617458203,1.2528202006214,0.0749373454846654,6.49047428263209e-64,1.07877091305914e-60,"AL365203.2","10:32887255-32889311","lncRNA","-"
"ENSG00000131899",1486.85206228769,-1.18065061947417,0.0719252540304006,1.11013589360429e-61,1.70320464599519e-58,"LLGL1","17:18225635-18244875","protein_coding","+"
